# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       55.5114511054     -688.9871543540
       65.5114511054     -688.9865534190
       75.5114511054     -688.9847250860
       85.5114511054     -688.9818698810
       95.5114511054     -688.9783744310
      105.5114511054     -688.9745713560
      115.5114511054     -688.9708584150
      125.5114511054     -688.9675789120
      135.5114511054     -688.9670529710
      145.5114511054     -688.9697406260
      155.5114511054     -688.9735374060
      165.5114511054     -688.9776968450
      175.5114511054     -688.9816447560
      185.5114511054     -688.9850639110
      195.5114511054     -688.9877578020
      205.5114511054     -688.9898386600
      215.5114511054     -688.9919247640
      225.5114511054     -688.9934632660
      235.5114511054     -688.9937173620
      245.5114511054     -688.9927603960
      255.5114511054     -688.9906808790
      265.5114511054     -688.9877660080
      275.5114511054     -688.9842594300
      285.5114511054     -688.9803636350
      295.5114511054     -688.9761808620
      305.5114511054     -688.9718453610
      315.5114511054     -688.9675427550
      325.5114511054     -688.9636069680
      335.5114511054     -688.9603494750
      345.5114511054     -688.9581839280
      355.5114511054     -688.9738327000
      365.5114511054     -688.9771660690
      375.5114511054     -688.9801986230
      385.5114511054     -688.9828435790
      395.5114511054     -688.9850595780
      405.5114511054     -688.9865818540
      415.5114511054     -688.9871543140
