#"Step","Potential Energy (kJ/mole)","Temperature (K)"
101000,143.37098607823464,231.80710413742446
102000,149.79743052094636,203.72749638639726
103000,138.2013970811604,358.0390017302724
104000,149.4515099145201,348.77640973223055
105000,141.84874995049904,329.14136739247976
106000,142.30177385489378,270.37763193982545
107000,139.62896616479634,400.63854302809597
108000,134.38668340064578,235.03026201027012
109000,130.97956494742084,295.6500158756711
110000,107.37208122946777,281.8775421481782
111000,108.03391437727987,246.35614357042016
112000,131.86600493643346,370.6547762641146
113000,141.50718679641795,351.3258142587748
114000,126.33695568565099,264.12619269419207
115000,124.38998130742584,243.3386695579268
116000,118.43439836467314,275.6184450143973
117000,137.28479331492053,278.9252984067378
118000,134.7860110665206,287.2885557529526
119000,140.5244188875513,329.7586199489918
120000,131.9295560678587,290.91286379361185
121000,144.56544988276914,449.7967565906539
122000,110.58261766190913,259.44845406643947
123000,116.03054665728996,223.46596312253504
124000,129.50669025747482,326.40188748088786
125000,130.78206790896365,361.0745672997182
126000,124.26704492459544,262.67506616401704
127000,151.54713850641383,413.88188165435565
128000,133.71161065004446,320.23355141591094
129000,117.20183332189299,287.59700213644606
130000,133.71786402037833,275.9925128588842
131000,111.79588560481125,228.57132205858392
132000,138.02245035327087,314.8036948657888
133000,127.67529344092702,282.7631644833815
134000,128.13443419654868,351.8223711944469
135000,132.3555160567721,349.10008643597604
136000,134.60416299209464,263.7913736071075
137000,124.32161271489167,311.31856732530815
138000,123.79864678380545,249.3834111298657
139000,134.72507817827318,359.704464904341
140000,145.18254949490074,288.2632051275113
141000,147.77539136182713,259.91298984513037
142000,112.65089908680909,275.1439692270726
143000,149.1093476999922,252.62636121224912
144000,147.87116043407877,249.55335410619824
145000,143.85432240201771,310.548231100459
146000,121.3183564486244,308.1734698514577
147000,156.55862089150867,274.7339522137292
148000,122.40536249722754,288.6204064634083
149000,115.95030885122901,288.8283380412114
150000,148.08757576313656,296.84608135003236
151000,142.37305874045705,362.6312742709744
152000,99.22639971843455,235.25053197794577
153000,120.257040124083,220.16650348157154
154000,122.12336817879805,307.84800270604836
155000,126.68415949013433,286.2655843269002
156000,158.27378172309545,264.51908297245683
157000,114.339060584256,314.0324103916429
158000,141.64536651316666,247.19599158047686
159000,115.987905539434,347.9344206024554
160000,148.90132987807647,380.6054364864289
161000,150.0690160115446,274.07907894358414
162000,125.14793315256975,309.2309495847689
163000,142.24981524184113,276.959516875585
164000,158.7606527066971,323.7472252540126
165000,140.99021030808512,247.584220461478
166000,128.47115450226875,286.3745504225787
167000,101.53052021493204,310.9456501380225
168000,131.17683269353938,254.03845330797665
169000,169.3392474850407,253.0162011751281
170000,137.79902557439982,247.68253765638923
171000,163.0736569300352,252.7366704105667
172000,135.02926050387032,391.722475481137
173000,108.9481207317076,285.01218449334266
174000,122.24916520004626,324.17483522901784
175000,141.49909882282373,329.56249387611916
176000,140.6498434150726,318.6708908925459
177000,138.2840280419041,313.48550304473275
178000,126.30867040961789,303.38525860856356
179000,134.44866267147552,304.2367649784305
180000,120.1733634442462,225.22276805131284
181000,115.95420276801815,247.3168522551124
182000,131.0989358124425,331.40668735121824
183000,116.87241514918469,322.5680122056082
184000,134.91790883932845,270.22491798864655
185000,158.44536053645425,253.34016388542392
186000,135.39538255216758,259.91519485160893
187000,148.2414362749878,283.7618514659304
188000,174.44464792282088,366.662855955565
189000,161.33383002894698,321.121156736614
190000,130.2451854173487,397.7133764650067
191000,126.58639452753414,211.80785073081472
192000,109.77836458345018,261.9543047041214
193000,102.740844935739,219.30310239135883
194000,126.14868422093787,394.4359384440102
195000,137.67448116932064,320.2252963151781
196000,154.812637795927,289.7029908828414
197000,110.7803360210271,361.959619060254
198000,107.97043972170422,285.1061725861939
199000,123.57776321223355,308.256916135957
200000,133.60815855462533,259.1951044495003
