# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      -76.0200363506     -535.1636471720
      -66.0200363506     -535.1634386510
      -56.0200363506     -535.1627356910
      -46.0200363506     -535.1616131370
      -36.0200363506     -535.1600166040
      -26.0200363506     -535.1580981970
      -16.0200363506     -535.1562601170
       -6.0200363506     -535.1543512910
        3.9799636494     -535.1522005200
       13.9799636494     -535.1496844970
       23.9799636494     -535.1467292880
       33.9799636494     -535.1433193590
       43.9799636494     -535.1394625450
       53.9799636494     -535.1353016890
       63.9799636494     -535.1312585460
       73.9799636494     -535.1512207960
       83.9799636494     -535.1529190020
       93.9799636494     -535.1540886360
      103.9799636494     -535.1550778460
      113.9799636494     -535.1559010840
      123.9799636494     -535.1567930860
      133.9799636494     -535.1579075430
      143.9799636494     -535.1591678320
      153.9799636494     -535.1604428470
      163.9799636494     -535.1613793680
      173.9799636494     -535.1618250920
      183.9799636494     -535.1617383700
      193.9799636494     -535.1611582250
      203.9799636494     -535.1602522660
      213.9799636494     -535.1593399620
      223.9799636494     -535.1592775150
      233.9799636494     -535.1599648170
      243.9799636494     -535.1609290630
      253.9799636494     -535.1619529030
      263.9799636494     -535.1628226260
      273.9799636494     -535.1634077820
      283.9799636494     -535.1636476730
      293.9799636494     -535.1634390980
