# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      113.4699790970     -535.1660538730
      123.4699790970     -535.1658499680
      133.4699790970     -535.1651183470
      143.4699790970     -535.1636471770
      153.4699790970     -535.1617641230
      163.4699790970     -535.1601431840
      173.4699790970     -535.1588161420
      183.4699790970     -535.1573998190
      193.4699790970     -535.1558465900
      203.4699790970     -535.1597898090
      213.4699790970     -535.1614393010
      223.4699790970     -535.1626429780
      233.4699790970     -535.1634273780
      243.4699790970     -535.1639094230
      253.4699790970     -535.1642961740
      263.4699790970     -535.1646291350
      273.4699790970     -535.1647256470
      283.4699790970     -535.1644448640
      293.4699790970     -535.1634730830
      303.4699790970     -535.1624221170
      313.4699790970     -535.1601183060
      323.4699790970     -535.1574769120
      333.4699790970     -535.1558354380
      343.4699790970     -535.1547608410
      353.4699790970     -535.1541900830
      363.4699790970     -535.1541172910
      373.4699790970     -535.1542508550
      383.4699790970     -535.1544926400
      393.4699790970     -535.1547174840
      403.4699790970     -535.1549314460
      413.4699790970     -535.1550509530
      423.4699790970     -535.1548626890
      433.4699790970     -535.1541482800
      443.4699790970     -535.1527918700
      453.4699790970     -535.1655455430
      463.4699790970     -535.1658919910
      473.4699790970     -535.1660537740
