#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,65.16513061523438,225.71855075608377
2000,119.04061889648438,282.0997610371118
3000,106.26950073242188,315.85994525787225
4000,65.99258422851562,374.20454599520025
5000,92.55734252929688,232.5420215867009
6000,88.19189453125,303.8377027918102
7000,74.56356811523438,322.92528417519156
8000,61.980255126953125,258.40527922391186
9000,81.10311889648438,293.7940387309776
10000,70.01348876953125,305.3174519993866
11000,72.77978515625,397.66900948601904
12000,100.99813842773438,237.83889787976224
13000,72.09414672851562,226.12277168853018
14000,111.18588256835938,345.48641276186845
15000,89.7469482421875,467.0935986661354
16000,67.59432983398438,376.738054084441
17000,59.6632080078125,368.2291322629337
18000,67.34628295898438,307.5193881785604
19000,77.47067260742188,290.1021331202603
20000,76.62106323242188,311.292137975767
21000,77.15109252929688,278.55593792845707
22000,67.63455200195312,257.88080454166015
23000,67.24087524414062,358.0551366153498
24000,57.543853759765625,343.8873115889545
25000,88.90359497070312,301.81571216589066
26000,87.72271728515625,304.19933418413353
27000,81.51467895507812,330.9717329517959
28000,82.11041259765625,390.4426466684868
29000,101.25558471679688,309.65690214102494
30000,105.38034057617188,301.4569285139916
31000,53.5965576171875,303.44161374035315
32000,71.94091796875,360.66483758172023
33000,88.42864990234375,305.974773772431
34000,78.88778686523438,227.073252517474
35000,76.10443115234375,217.26080915831278
36000,74.22064208984375,255.1807669207196
37000,91.15621948242188,292.67797761714206
38000,81.66195678710938,291.9456653462583
39000,90.3416748046875,331.24910286912075
40000,83.0965576171875,321.39617413359434
41000,100.41177368164062,289.3610561371819
42000,83.83676147460938,361.3685142405598
43000,63.90826416015625,265.7011743701369
44000,77.21014404296875,323.7993506360839
45000,83.80020141601562,355.32333086789833
46000,95.13308715820312,318.2333154105877
47000,57.521484375,366.1234180685403
48000,73.21231079101562,225.51193136752212
49000,67.69259643554688,255.94317031541985
50000,81.27783203125,418.22418971783316
51000,83.55282592773438,294.2999239965708
52000,89.25723266601562,277.38206768400863
53000,84.69540405273438,303.05875086108887
54000,62.38995361328125,267.92734798447736
55000,71.54107666015625,247.6961456882655
56000,84.25665283203125,391.0062144984518
57000,90.5107421875,288.9042152900068
58000,87.9793701171875,243.99014376244796
59000,71.1619873046875,353.6442398306224
60000,83.53268432617188,400.4104342677925
61000,91.22747802734375,340.3227316167628
62000,79.92276000976562,250.58153956926643
63000,79.6663818359375,372.026720684952
64000,70.67459106445312,296.69531667523404
65000,89.9853515625,333.50679147748986
66000,91.564453125,403.49108821721825
67000,69.0355224609375,320.2042365582318
68000,90.5089111328125,325.7704932746499
69000,98.974365234375,286.9347180125748
70000,92.59918212890625,271.895737548832
71000,75.7645263671875,199.9015847215475
72000,93.38510131835938,338.42344696156937
73000,77.92990112304688,321.66680439858175
74000,68.369140625,333.26916335986385
75000,93.94784545898438,247.38044202067377
76000,79.503173828125,418.92995471965054
77000,70.0020751953125,283.1302950135382
78000,73.20040893554688,389.65100647209727
79000,81.53256225585938,252.37121785968532
80000,81.49948120117188,406.5858859440846
81000,89.74835205078125,227.51463646245725
82000,75.89263916015625,324.17189836670025
83000,86.49526977539062,298.3776984347781
84000,97.29803466796875,319.33358738584866
85000,100.19418334960938,357.89616941655447
86000,82.59710693359375,370.01741832470066
87000,91.34414672851562,299.22486956944107
88000,80.55596923828125,345.9529042849258
