angle_deg,energy_hartree
179.3996488,-688.9992953
189.3996488,-688.9986526
199.3996488,-688.9966778
209.3996488,-688.9936746
219.3996488,-688.9900605
229.3996488,-688.9855796
239.3996488,-688.9804606
249.3996488,-688.9747622
259.3996488,-688.9687158
269.3996488,-688.9627646
279.3996488,-688.9576003
289.3996488,-688.9793493
299.3996488,-688.9830488
309.3996488,-688.9862257
319.3996488,-688.9895459
329.3996488,-688.9924357
339.3996488,-688.9943504
349.3996488,-688.9957061
359.3996488,-688.9964838
369.3996488,-688.996655
379.3996488,-688.9961622
389.3996488,-688.9949155
399.3996488,-688.9927809
409.3996488,-688.9895565
419.3996488,-688.9857811
429.3996488,-688.9809992
439.3996488,-688.9751406
449.3996488,-688.9689798
459.3996488,-688.9631853
469.3996488,-688.9669265
479.3996488,-688.9832044
489.3996488,-688.9877452
499.3996488,-688.9914241
509.3996488,-688.9944017
519.3996488,-688.9964049
529.3996488,-688.9974821
539.3996488,-688.9974561
