angle_deg,energy_hartree
174.9378829,-535.1660539
184.9378829,-535.165499
194.9378829,-535.1643806
204.9378829,-535.162377
214.9378829,-535.1593636
224.9378829,-535.1555352
234.9378829,-535.151211
244.9378829,-535.1465018
254.9378829,-535.1414647
264.9378829,-535.1361104
274.9378829,-535.1308274
284.9378829,-535.1269189
294.9378829,-535.1506943
304.9378829,-535.1535002
314.9378829,-535.1561068
324.9378829,-535.1581253
334.9378829,-535.1596137
344.9378829,-535.1609183
354.9378829,-535.1619322
364.9378829,-535.1624921
374.9378829,-535.1625192
384.9378829,-535.1619437
394.9378829,-535.160555
404.9378829,-535.1581401
414.9378829,-535.1545529
424.9378829,-535.1504401
434.9378829,-535.1455632
444.9378829,-535.1398738
454.9378829,-535.134029
464.9378829,-535.1296609
474.9378829,-535.1447533
484.9378829,-535.149512
494.9378829,-535.1539624
504.9378829,-535.1577975
514.9378829,-535.1607882
524.9378829,-535.1628186
534.9378829,-535.1640314
